Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C16, C2",603,5,10uF,C1691
"C10, C12, C22, C23, C24, C25, C26, C27",402,8,0.1uF,C1525
"C13, C14, C19, C7, C9",1005,5,0.1uF,C161362
"C17, C18, C20, C21",1005,4,100p,C710765
C28,402,1,10nF,C1524
"C3, C4, C5, C8",603,4,1uF,C1592
C6,805,1,10uF,C1713
D1,805,1,LED,C2293
D2,805,1,LED,C2297
D4,805,1,LED,C34499
"D7, D10",D_SOD-123,2,,C21512
"D5, D6, D8, D9",D_SOD-123,4,D_Zener,C36599
D3,603,1,LED,C2286
J1,GCT_USB4216-03-A_REVA,1,USB4216-03-A_REVA,C530612
J2,PinHeader_1x18_P2.54mm_Vertical,1,~,C725950
J3,PinHeader_1x05_P2.54mm_Vertical,1,~,C225480
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,~,C168673
J7,PinHeader_1x04_P2.54mm_Vertical,1,~,C152150
"R1, R10, R11, R12, R13, R19, R2, R21, R29, R7, R8, R9",402,12,10K,C25531
"R14, R15, R5, R6",402,4,1K,C11702
R16,402,1,23.2K,C25873
"R17, R18, R20, R30, R31",402,5,2K,C4109
R22,402,1,15K,C25539
"R23, R24, R25, R26, R27",402,5,22K,C25547
R28,805,1,1K,C17513
"R3, R4",402,2,5.1k,C25905
R32,402,1,95.3K,C26990
"SW1, SW2",SW_PTS810_SJM_250_SMTR_LFS,2,PTS810_SJM_250_SMTR_LFS,C116501
"U1, U6",DIP-16_W7.62mm,2,~,
U10,USBLC6-2P6,1,~,C15999
"U12, U3, U4, U7",DIP-8_W7.62mm,4,~,
U2,DIP-14_W7.62mm,1,~,
U5,TPS73601DBVT,1,~,C115265
U8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U9,TPS73733DCQ,1,TPS73733DCQ,C5220270